event_goalie_name,occurances
Aaron.Dell,3519
Adam.Huska,39
Adam.Werner,58
Adam.Wilcox,14
Adin.Hill,2703
Akira.Schmid,522
Al.Montoya,3712
Alex.Auld,310
Alex.Lyon,1059
Alex.Nedeljkovic,3051
Alex.Stalock,4703
Alexandar.Georgiev,5608
Alexei.Melnichuk,81
Allen.York,199
Anders.Lindback,2827
Anders.Nilsson,4883
Andrei.Vasilevskiy,13004
Andrew.Hammond,1863
Andrew.Raycroft,303
Andrey.Makarov,36
Anthony.Stolarz,2253
Antoine.Bibeau,97
Anton.Forsberg,3810
Anton.Khudobin,7077
Antti.Niemi,9978
Antti.Raanta,6815
Arturs.Silovs,152
Artyom.Zagidulin,11
Arvid.Soderblom,548
Ben.Bishop,11114
Ben.Scrivens,4094
Brad.Thiessen,113
Braden.Holtby,14630
Brandon.Halverson,6
Brent.Johnson,359
Brian.Boucher,315
Brian.Elliott,10419
Brian.Foster,1
Cal.Petersen,1322
Calvin.Heeter,38
Calvin.Petersen,1656
Calvin.Pickard,3196
Cam.Talbot,12590
Cam.Ward,10147
Carey.Price,14869
Carter.Hart,5962
Carter.Hutton,6278
Casey.DeSmith,3814
Casey.Desmith,15
Cayden.Primeau,521
Cedrick.Desjardins,86
Chad.Johnson,4913
Charlie.Lindgren,1742
Chris.Driedger,1752
Chris.Mason,651
Christopher.Gibson,434
Collin.Delia,1557
Connor.Hellebuyck,13570
Connor.Ingram,1004
Connor.Knapp,32
Corey.Crawford,12193
Cory.Schneider,10579
Craig.Anderson,14875
Cristopher.Nilstorp,163
Curtis.McElhinney,5064
Curtis.Sanford,971
Dan.Ellis,1505
Dan.Vladar,1427
Daniel.Taylor,102
Daniil.Tarasov,639
Darcy.Kuemper,10121
David.Ayres,10
David.Rittich,4629
Devan.Dubnyk,13849
Devon.Levi,222
Drew.MacIntyre,69
Dustin.Tokarski,2285
Dustin.Wolf,24
Dwayne.Roloson,1125
Dylan.Ferguson,85
Dylan.Wells,13
Eddie.Lack,3832
Edward.Pasquale,102
Eetu.Makiniemi,32
Elvis.Merzlikins,4532
Eric.Comrie,1368
Erik.Kallgren,631
Evgeni.Nabokov,3641
Felix.Sandstrom,752
Filip.Gustavsson,1944
Frederik.Andersen,14051
Garret.Sparks,1109
Gilles.Senn,41
Harri.Sateri,428
Henrik.Karlsson,239
Henrik.Lundqvist,14296
Hugo.Alnefelt,10
Hunter.Miska,120
Igor.Shesterkin,4729
Iiro.Tarkki,10
Ilya.Bryzgalov,3660
Ilya.Samsonov,3517
Ilya.Sorokin,3973
Ivan.Prosvetov,389
J.F..Berube,495
J.F.Berube,593
Jack.Campbell,4808
Jack.LaFontaine,41
Jacob.Markstrom,12429
Jake.Allen,10996
Jake.Oettinger,3783
James.Reimer,12840
Jared.Coreau,566
Jaroslav.Halak,11821
Jason.Kasdorf,30
Jason.LaBarbera,1149
Jaxson.Stauber,191
Jean.Sebastien.Giguere,1927
Jeff.Deslauriers,113
Jeff.Frazee,3
Jeff.Glass,452
Jeff.Zatkoff,1230
Jeremy.Smith,286
Jeremy.Swayman,2335
Jet.Greaves,49
Jhonas.Enroth,3966
Jimmy.Howard,11408
Jiri.Patera,70
Joacim.Eriksson,31
Joel.Hofer,229
Joey.Daccord,524
Joey.MacDonald,1157
Johan.Hedberg,1153
John.Curry,82
John.Gibson,13274
Jon.Gillies,924
Jonas.Gustavsson,2952
Jonas.Hiller,6075
Jonas.Johansson,869
Jonathan.Bernier,10799
Jonathan.Quick,15424
Joni.Ortio,910
Joonas.Korpisalo,6334
Jordan.Binnington,6443
Jose.Theodore,1892
Josef.Korenar,293
Joseph.Woll,342
Josh.Harding,1744
Jussi.Rynnas,90
Justin.Peters,1730
Justus.Annunen,99
Juuse.Saros,8711
Kaapo.Kahkonen,3039
Kaden.Fulcher,11
Karel.Vejmelka,3340
Kari.Lehtonen,10166
Karri.Ramo,2978
Kasimir.Kaskisuo,41
Keith.Kinkaid,4727
Ken.Appleby,55
Kent.Simpson,7
Kevin.Boyle,139
Kevin.Lankinen,2760
Kevin.Mandolese,119
Kevin.Poulin,1130
Kristers.Gudlevskis,73
Landon.Bow,19
Laurent.Brossoit,3127
Leevi.Merilainen,49
Leland.Irving,367
Linus.Ullmark,6100
Logan.Thompson,1702
Louis.Domingue,4119
Lukas.Dostal,787
Mackenzie.Blackwood,4497
Mackenzie.Skapski,45
Mads.Sogaard,578
Magnus.Hellberg,472
Malcolm.Subban,2397
Marc.Andre.Fleury,17724
Marcus.Hogberg,1171
Marek.Langhamer,18
Marek.Mazanec,784
Mark.Visentin,32
Martin.Biron,712
Martin.Brodeur,3266
Martin.Jones,12073
Marty.Turco,110
Mathieu.Garon,1619
Matiss.Kivlenieks,208
Matt.Hackett,709
Matt.Murray,7926
Matthew.Berlin,1
Matthew.Murray,130
Matthew.O'Connor,34
Maxime.Lagace,549
Michael.Dipietro,48
Michael.Houser,218
Michael.Hutchinson,3993
Michael.Leighton,135
Michael.McNiven,7
Michal.Neuvirth,5135
Miikka.Kiprusoff,2691
Mike.Condon,3518
Mike.McKenna,514
Mike.Murphy,9
Mike.Smith,15206
Mikko.Koskinen,4879
Nathan.Lawson,10
Nathan.Lieuwen,191
Nico.Daws,617
Niklas.Backstrom,3478
Niklas.Svedberg,460
Niklas.Treutle,20
Nikolai.Khabibulin,1563
Olle.Eriksson.Ek,39
Ondrej.Pavelec,7942
Oscar.Dansk,159
Pavel.Francouz,2159
Pekka.Rinne,14298
Peter.Budaj,3089
Peter.Mannino,4
Petr.Mrazek,9225
Pheonix.Copley,1799
Philipp.Grubauer,8213
Pyotr.Kochetkov,688
Ray.Emery,2762
Reto.Berra,1837
Richard.Bachman,1237
Rick.DiPietro,260
Rob.Zepp,223
Roberto.Luongo,10828
Robin.Lehner,11020
Roman.Will,3
Ryan.Miller,11946
Sam.Montembeault,3108
Sami.Aittokallio,43
Samuel.Ersson,327
Scott.Clemmensen,1702
Scott.Darling,3484
Scott.Foster,7
Scott.Wedgewood,2982
Sebastien.Caron,57
Semyon.Varlamov,15888
Sergei.Bobrovsky,17288
Spencer.Knight,1603
Spencer.Martin,1144
Steve.Mason,8706
Stuart.Skinner,1942
Thatcher.Demko,5239
Thomas.Greiss,9713
Thomas.Hodges,3
Tim.Thomas,3047
Tom.McCollum,25
Tomas.Vokoun,1818
Tristan.Jarry,5984
Troy.Grosenick,135
Tuukka.Rask,13428
Ty.Conklin,378
Tyler.Bunz,12
Ukko.Pekka.Luukkonen,1481
Veini.Vehvilainen,4
Viktor.Fasth,1682
Ville.Husso,3299
Vitek.Vanecek,3482
Yann.Danis,89
Yaroslav.Askarov,35
Zach.Fucale,66
