Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Season
1,Jake Allen,33,MTL,5,5,3,1,1,14,192,178,0.927,2.72,0,1.5,309,4,0.8,0,78,3.99,0,0,0,0,2024
2,Frederik Andersen,34,CAR,6,6,4,1,0,15,142,127,0.894,2.87,0,0.6,314,3,0.5,2,113,-1.7,0,0,0,0,2024
3,Jordan Binnington,30,STL,6,6,2,3,1,16,190,174,0.916,2.61,0,1.3,368,3,0.5,0,90,1.8,0,0,0,0,2024
4,Mackenzie Blackwood,27,SJS,7,6,0,5,1,25,239,214,0.895,4.17,0,1.1,360,3,0.5,1,112,-2.61,0,0,0,2,2024
5,Sergei Bobrovsky,35,FLA,8,8,4,3,1,20,228,208,0.912,2.51,1,1.4,478,4,0.5,0,94,1.36,0,0,0,0,2024
6,Laurent Brossoit,30,WPG,2,2,0,1,1,7,55,48,0.873,3.38,0,0.1,124,0,0,1,136,-1.85,0,0,0,0,2024
7,Jack Campbell,32,EDM,4,4,1,3,0,15,123,108,0.878,4.35,0,0.3,207,1,0.25,2,130,-3.48,0,0,0,0,2024
8,Eric Comrie,28,BUF,3,3,1,1,0,6,70,64,0.914,2.45,0,0.5,147,2,0.667,0,91,0.56,0,0,0,0,2024
9,Pheonix Copley,32,LAK,3,3,1,0,1,11,52,41,0.788,4.98,0,-0.3,133,0,0,2,226,-6.13,0,0,0,0,2024
10,Joey Daccord,27,SEA,5,5,2,1,2,15,171,156,0.912,2.88,0,1.1,313,3,0.6,0,94,1.02,0,0,0,0,2024
11,Thatcher Demko,28,VAN,7,7,5,2,0,12,200,188,0.94,1.79,1,1.8,403,6,0.857,0,64,6.74,0,0,0,0,2024
12,Casey DeSmith,32,VAN,4,3,2,0,1,10,105,95,0.905,3.07,0,0.6,196,2,0.667,1,102,-0.16,0,0,0,0,2024
13,Lukáš Dostál,23,ANA,6,5,5,1,0,16,200,184,0.92,2.8,0,1.4,343,4,0.8,0,85,2.74,0,0,0,0,2024
14,Samuel Ersson,24,PHI,3,2,0,2,1,14,59,45,0.763,4.91,0,-0.5,171,0,0,2,253,-8.47,0,0,0,0,2024
15,Marc-André Fleury,39,MIN,4,4,1,2,1,13,116,103,0.888,3.25,0,0.4,240,2,0.5,1,120,-2.13,0,0,0,0,2024
16,Anton Forsberg,31,OTT,3,3,2,1,0,8,63,55,0.873,3.01,0,0.1,160,1,0.333,1,136,-2.1,0,0,0,0,2024
17,Alexandar Georgiev,27,COL,8,8,6,2,0,19,224,205,0.915,2.4,1,1.5,475,4,0.5,1,91,1.99,0,0,0,0,2024
18,John Gibson,30,ANA,5,5,1,3,0,12,123,111,0.902,2.82,0,0.6,255,2,0.4,0,104,-0.48,0,0,0,0,2024
19,Philipp Grubauer,32,SEA,6,6,2,4,0,17,186,169,0.909,2.83,0,1.1,360,3,0.5,0,98,0.43,0,0,0,2,2024
20,Filip Gustavsson,25,MIN,6,6,2,3,1,27,229,202,0.882,4.48,1,0.7,361,2,0.333,2,126,-5.55,0,0,0,0,2024
21,Carter Hart,25,PHI,8,8,4,3,0,18,208,190,0.913,2.52,1,1.3,428,5,0.625,2,92,1.49,0,1,1,0,2024
22,Magnus Hellberg,32,PIT,1,0,0,0,0,2,17,15,0.882,3.47,0,0.1,35,0,,0,,,0,0,0,0,2024
23,Connor Hellebuyck,30,WPG,8,8,4,3,1,25,230,205,0.891,3.09,0,0.9,485,3,0.375,3,116,-3.45,0,0,0,0,2024
24,Adin Hill,27,VEG,6,6,5,0,1,13,169,156,0.923,2.11,0,1.3,370,4,0.667,1,82,2.83,0,0,0,0,2024
25,Joel Hofer,23,STL,2,2,1,1,0,6,69,63,0.913,3.01,1,0.4,120,1,0.5,0,93,0.46,0,0,0,0,2024
26,Ville Husso,28,DET,7,7,4,2,1,23,229,206,0.9,3.28,0,1.1,421,3,0.429,1,107,-1.55,0,0,0,0,2024
27,Connor Ingram,26,ARI,5,5,3,1,0,10,123,113,0.919,2.39,0,0.9,251,4,0.8,1,87,1.52,0,0,0,0,2024
28,Tristan Jarry,28,PIT,7,7,2,5,0,18,169,151,0.893,2.84,2,0.7,380,3,0.429,2,114,-2.17,0,0,0,0,2024
29,Jonas Johansson,28,TBL,8,8,4,1,3,22,282,260,0.922,2.73,2,2.1,484,3,0.375,0,83,4.42,0,0,0,0,2024
30,Kaapo Kähkönen,27,SJS,5,4,0,4,0,17,137,120,0.876,4.3,0,0.3,237,2,0.5,1,132,-4.17,0,0,0,0,2024
31,Pyotr Kochetkov,24,CAR,3,2,0,3,0,11,67,56,0.836,4.33,0,-0.1,153,0,0,1,175,-4.72,0,0,0,0,2024
32,Joonas Korpisalo,29,OTT,7,6,2,4,0,20,212,192,0.906,3.19,0,1.2,377,4,0.667,1,101,-0.14,0,1,1,0,2024
