Rk,Season,GP,G,PP,PPO,PP%,PK%,SA,SV,SV%,GAA
1,2023,1312,3.18,0.65,3.07,21.31,78.69,31.1,28.1,0.904,2.97
2,2022,1312,3.14,0.6,2.89,20.61,79.39,31.4,28.5,0.907,2.92
3,2021,868,2.94,0.57,2.89,19.78,80.22,29.8,27.1,0.908,2.74
4,2020,1082,3.02,0.6,2.97,20.03,79.97,31.3,28.4,0.91,2.82
5,2019,1271,3.01,0.58,2.92,19.78,80.22,31.3,28.5,0.91,2.81
6,2018,1271,2.97,0.61,3.04,20.18,79.82,31.8,29,0.912,2.78
7,2017,1230,2.77,0.57,2.99,19.1,80.9,30.1,27.5,0.913,2.59
8,2016,1230,2.71,0.58,3.11,18.66,81.34,29.6,27.1,0.915,2.51
9,2015,1230,2.73,0.57,3.06,18.66,81.34,29.8,27.3,0.915,2.52
10,2014,1230,2.74,0.59,3.27,17.89,82.11,30,27.4,0.914,2.56
11,2013,720,2.72,0.61,3.32,18.22,81.78,29,26.5,0.912,2.54
12,2012,1230,2.73,0.57,3.31,17.31,82.69,29.7,27.1,0.914,2.54
